股票代码,代码,股票名称,成交价,价格变动,涨跌幅,买入价,卖出价,昨收,开盘价,最高价,最低价,成交量,成交额,时间,市盈率,市净率,总市值,流通市值,换手率
bj836957,836957,汉维科技,7.680,-0.11,-1.412,7.600,7.680,7.790,7.760,7.990,7.560,456302,3545096,15:30:00,19.692,2.163,82407.424512,20601.856512,1.70101
bj836961,836961,西磁科技,20.780,-0.16,-0.764,20.760,20.780,20.940,20.980,21.790,20.590,1291947,27408791,15:30:00,34.066,9.865,147101.62,33456.196898,8.02442
bj837006,837006,晟楠科技,14.500,0.07,0.485,14.450,14.500,14.430,14.600,14.960,14.200,1798552,26333777,15:30:00,20.714,3.753,130916.44,41783.2,6.2415
bj837046,837046,亿能电力,8.050,0.15,1.899,8.050,8.060,7.900,7.990,8.070,7.720,1039817,8233585,15:30:00,27.759,2.504,58161.25,25821.948775,3.24163
bj837092,837092,汉鑫科技,32.440,0.8,2.528,32.440,32.450,31.640,32.000,33.330,31.010,1856765,60315882,15:30:00,-135.167,4.081,155374.624,80138.789824,7.51614
bj837174,837174,宏裕包材,14.160,-0.5,-3.411,14.160,14.180,14.660,14.290,15.280,14.060,3278673,47743923,15:30:00,17.481,2.223,115168.000944,23033.885088,20.15553
bj837212,837212,智新电子,9.300,-0.48,-4.908,9.300,9.310,9.780,9.750,9.870,9.210,2768678,26265093,15:30:00,21.628,2.462,98673.0,48524.145,5.30637
bj837242,837242,建邦科技,17.980,-0.45,-2.442,17.980,18.000,18.430,18.350,18.870,17.890,786592,14537287,15:30:00,22.198,2.486,116005.6115,62861.63105,2.24985
bj837344,837344,三元基因,18.840,-0.64,-3.285,18.640,18.840,19.480,18.930,19.100,18.100,546222,10272799,15:30:00,75.36,3.895,229490.04,213948.539664,0.481
bj837403,837403,康农种业,15.300,0.48,3.239,15.280,15.300,14.820,14.670,15.540,14.600,4381281,66396369,15:30:00,14.571,3.554,80508.6,32607.36,20.55781
bj837592,837592,华信永道,21.220,-2.25,-9.587,21.220,21.230,23.470,22.070,24.100,21.210,6854274,154741269,15:30:00,29.068,4.042,131882.3,36358.297072,40.00399
bj837663,837663,明阳科技,11.920,-0.07,-0.584,11.910,11.920,11.990,12.090,12.270,11.910,1358428,16392675,15:30:00,9.099,3.701,123014.4,36217.46576,4.4709
bj837748,837748,路桥信息,22.190,0.1,0.453,22.190,22.230,22.090,21.530,23.610,21.530,4975826,113441907,15:30:00,36.983,6.192,170286.06,29814.559446,37.03344
bj837821,837821,则成电子,17.250,-1.83,-9.591,17.240,17.250,19.080,18.300,19.330,17.180,5105051,93094001,15:30:00,38.316,2.447,121772.59035,31500.385425,27.95589
bj838030,838030,德众汽车,3.730,-0.04,-1.061,3.730,3.740,3.770,3.770,3.830,3.720,3082327,11647043,15:30:00,31.083,1.373,66707.201013,35579.256258,3.2314
bj838163,838163,方大新材,11.070,0.7,6.75,11.030,11.070,10.370,10.300,11.350,10.070,3353217,36677127,15:30:00,34.594,3.297,142811.856,67346.974125,5.51177
bj838171,838171,邦德股份,13.390,-0.22,-1.616,13.390,13.400,13.610,13.610,14.210,13.390,1131455,15617252,15:30:00,18.859,3.267,159247.27,69494.766822,2.18005
bj838227,838227,美登科技,25.050,-1.43,-5.4,25.050,25.110,26.480,26.100,26.800,24.990,1058086,27208750,15:30:00,18.556,2.449,97548.4575,26396.87337,10.04098
bj838262,838262,太湖雪,16.010,-0.66,-3.959,16.000,16.010,16.670,16.100,17.160,16.000,2351435,38769727,15:30:00,13.927,2.73,85116.777558,20968.181728,17.9541
bj838275,838275,驱动力,4.190,0.01,0.239,4.160,4.190,4.180,4.140,4.300,4.110,2088373,8775491,15:30:00,38.091,2.935,67156.3144,37791.451086,2.31541
bj838402,838402,硅烷科技,14.220,-0.8,-5.326,14.210,14.220,15.020,14.780,15.030,14.200,5183121,75833321,15:30:00,19.216,2.96,461668.78098,461668.78098,1.59647
bj838670,838670,恒进感应,11.480,0.08,0.702,11.470,11.480,11.400,11.430,12.120,11.020,2808575,32860183,15:30:00,10.933,3.501,153832.0,75771.3292,4.25523
bj838701,838701,豪声电子,13.510,0.01,0.074,13.510,13.530,13.500,13.180,14.240,13.140,2619812,35951519,15:30:00,15.18,2.462,132398.0,26480.951,13.36571
bj838810,838810,春光药装,9.060,-0.1,-1.092,9.050,9.060,9.160,9.160,9.290,9.020,862850,7894948,15:30:00,11.615,2.16,62061.0,23457.831276,3.33254
bj838837,838837,华原股份,8.090,-0.9,-10.011,8.070,8.090,8.990,8.580,9.170,8.060,8680801,74925725,15:30:00,26.967,2.595,122735.644683,36997.824683,18.98157
bj838924,838924,广脉科技,9.760,-0.22,-2.204,9.760,9.790,9.980,9.970,10.150,9.760,1082208,10795856,15:30:00,54.222,3.019,81008.0,47738.220336,2.21256
bj838971,838971,天马新材,13.460,0.55,4.26,13.460,13.500,12.910,12.860,14.370,12.860,4025011,55753139,15:30:00,17.685,3.2,142848.290692,43167.669642,12.55028
bj839167,839167,同享科技,23.000,-0.75,-3.158,23.000,23.010,23.750,23.110,24.880,22.830,5527781,132256958,15:30:00,47.917,4.714,251436.0,149747.25,8.49024
bj839273,839273,一致魔芋,13.620,-0.13,-0.945,13.620,13.680,13.750,13.600,13.980,13.500,340379,4677150,15:30:00,12.161,1.76,100452.948,35977.23,1.28858
bj839371,839371,欧福蛋业,5.140,-0.18,-3.383,5.140,5.160,5.320,5.320,5.390,5.110,2703055,14222999,15:30:00,22.348,2.021,105599.005504,27297.323362,5.08977
bj839493,839493,并行科技,48.030,2.07,4.504,48.030,48.040,45.960,46.500,52.000,45.960,2238687,109997064,15:30:00,-19.604,36.751,279678.69,120005.683104,8.95992
bj839680,839680,广道数字,19.570,-0.32,-1.609,19.550,19.570,19.890,20.000,20.420,19.500,1602061,32047316,15:30:00,20.819,1.994,131118.8043,91770.274208,3.41639
bj839719,839719,宁新新材,12.710,-0.1,-0.781,12.680,12.710,12.810,12.850,13.050,12.510,1401797,17984145,15:30:00,9.629,1.252,118321.7114,82656.203278,2.15554
bj839725,839725,惠丰钻石,14.830,-0.48,-3.135,14.830,14.880,15.310,15.150,15.510,14.820,897514,13607538,15:30:00,15.611,2.195,136806.75,62401.321046,2.13299
bj839729,839729,永顺生物,7.280,-0.06,-0.817,7.250,7.280,7.340,7.280,7.410,7.250,836193,6120218,15:30:00,22.75,2.978,198998.8,58418.044776,1.04206
bj839790,839790,联迪信息,10.990,-0.57,-4.931,10.970,10.990,11.560,11.590,12.500,10.650,6961651,80806387,15:30:00,39.25,2.652,86784.75498,39071.645802,19.5816
bj839792,839792,东和新材,7.230,0.14,1.975,7.220,7.230,7.090,7.100,7.430,7.050,1465305,10643907,15:30:00,9.39,1.294,119685.42,39196.932393,2.7028
bj839946,839946,华阳变速,5.120,0.45,9.636,5.120,5.130,4.670,4.670,5.480,4.530,12567054,63866704,15:30:00,-56.889,2.564,69115.106816,51020.8,12.61119
bj870199,870199,倍益康,20.150,-0.03,-0.149,20.140,20.150,20.180,20.100,21.380,19.700,2951405,61073460,15:30:00,11.02,2.681,137241.247,34314.241,17.33123
bj870204,870204,沪江材料,13.240,1.09,8.971,13.220,13.240,12.150,12.150,14.280,11.880,6004255,79567585,15:30:00,22.067,2.119,96028.4953,50811.866932,15.64523
